Provinsi,TipeFaskes,KodeFaskes,NamaFaskes,AlamatFaskes,TelpFaskes
Jawa Tengah,Puskesmas,11010101,Poncol                                             ,Jl. Imam Bonjol No. 114 Smg, 024-3546053
Jawa Tengah,Dokter Praktik Perorangan,0173S001,Ginjal Hipertensi Lestari                                            ,Jl. Sompok Baru No. 76, 024-8317542
Jawa Tengah,Klinik Utama,0173U019,dr. Aprillia Mahatmanti                                            ,Jl. Erowati Vi / 6-8 Semarang," 024-3514689, 0"
Jawa Tengah,Klinik Pratama,1730002,Rsbhy. Akpol                                            ,Jl. Sultan Agung No 131,248502766
Jawa Tengah,Apotek,0173A007,Apotek Sana Farma I                                            ,Jl. Brigjen Sudiarto / 124 Smg, 024-6733663
Jawa Tengah,Rumah Sakit,0174R007,RSUD Bendan                                            ,Jl. Sriwijaya 02, 0285-437222
Jawa Tengah,Puskesmas,1740001,Sokorejo                                            ,Jl. Ir. Sutami, 0285-4460285
Jawa Tengah,Dokter Praktik Perorangan,1104R003,Bkpm Kota Pekalongan                                            ,Jl. Wr. Supratman 77, 0285-421354
Jawa Tengah,Klinik Utama,0174U001,dr. Sri Nurdijah Kasbollah                                            ,Jl. Kartini No. 57,816660093
Jawa Tengah,Klinik Pratama,1660001,Klinik Pratama Kartika 10 Pkl                                            ,Jl. Pemuda No 46 Pekalongan,
Jawa Tengah,Apotek,0174A008,Apotek Kimia Farma Pekalongan                                            ,Jl. Imam Bonjol 32 Pekalongan,285423641
Jawa Tengah,Rumah Sakit,0175R007,RS Mitra Keluarga Tegal                                            ,Jl. Sipelem No. 4 Kemandungan , 0283-340999
Jawa Tengah,Puskesmas,11070101,Tegal Barat                                             ,Jl. Hangtuah No 19, 0283-028335175
Jawa Tengah,Dokter Praktik Perorangan,1107R004,Klinik Paru Masyarakat Tegal                                            ,Jl. Kapten Sudibyo 4, 0283-351147
Jawa Tengah,Klinik Utama,0175U002,dr. Paulus Mulyono                                             ,"Jl. Ki Hajar Dewantoro 211 ,Ka", 0851-03279997
Jawa Tengah,Klinik Pratama,1680003,Klinik Adi Pradana Kota Tegal                                            ,"Jl. Ks. Tubun, Kota Tegal", 0283-353031
Jawa Tengah,Apotek,0175A005,Apotek Siti Hajar Tegal                                            ,Jl. Kartini 41,283358158
D I Yogyakarta,Rumah Sakit,0176R002,RSU Rizki Amalia Medika                                            ,Jl. Brosot-Wates Km 5 Jogahan , 085-10049452
D I Yogyakarta,Puskesmas,12040101,Wates                                             ,"Jl. Kh.Wakhid Hasyim, Kularan", 0274-774436
D I Yogyakarta,Dokter Praktik Perorangan,0176S001,Klinik Utama Alesha                                            ,Jl.Yogya-Wates Km 21 Sentolo, 0851-05242010
D I Yogyakarta,Klinik Utama,0176U002,dr. Alb Sunuwata TP                                            ,Ds.Grigak Giripurwo, 0274-6496123
D I Yogyakarta,Klinik Pratama,0176B000,Klinik Citra Paramedika                                            ,Jln. Pahlawan Graulan Giripeni, 0274-774876
D I Yogyakarta,Apotek,0176A002,Apotek Tri Farma                                            ,Jl. Brigjend Katamso No.10,274773519
D I Yogyakarta,Rumah Sakit,0177R005,RS Nur Hidayah                                            ,"Jl. Imogiri Timur Km 11,5 ", 0274-2810632
D I Yogyakarta,Puskesmas,12050101,Bantul I                                             ,Jl. Kh Wahid Hasyim 208,2747104470
D I Yogyakarta,Dokter Praktik Perorangan,0177R015,Klinik Hemodialisis Nitipuran                                            ,Jl Nitipuran 183B, 0274-450964
D I Yogyakarta,Klinik Utama,0177U001,dr. H. Suryadi                                            ,Jl.Parangtritis Km.9 Ruko No.4,816677014
D I Yogyakarta,Klinik Pratama,1770002,Klinik Polres Bantul                                            ,Jl. Jend Sudirman No.202, 0274-2810262
D I Yogyakarta,Apotek,0177A005,Apotek Indah Farma                                             ,Jl. Dr Wahidin Sudirohusodo,274368296
D I Yogyakarta,Rumah Sakit,0178R002,RS Nur Rohmah                                            ,Jl.Wonosari-Yogya Km7 Bandung , 0274-394574
D I Yogyakarta,Puskesmas,1780003,Gedangsari II                                             ,Plasan Watugajah Gedangsari, 0274-081225716
D I Yogyakarta,Klinik Utama,0178U003,"dr. Kuncoro, M.Kes                                            ",Rumah Dinas Upt Pusk.Ponjong I,81321442442
D I Yogyakarta,Klinik Pratama,0178B003,Klinik Polres Gunungkidul                                            ,Mgr Sugiyopranoto,82136524666
D I Yogyakarta,Apotek,0178A004,Apotek Moro Sehat                                             ,Jl. Brigjend Katamso,274391161
D I Yogyakarta,Rumah Sakit,0179R006,RS Bhayangkara Sleman                                            ,"Jalan Solo, Km.14,Tirtomartani", (0274) 498278
D I Yogyakarta,Puskesmas,12020101,Gamping I                                              ,Delingsari Ambarketawang, 0274-6499870
D I Yogyakarta,Klinik Utama,0179U001,"dr. Wahyudi Istiono, M.Kes                                            ","Jl. Tentara Pelajar No. 33, Se", 62-81314845448
D I Yogyakarta,Klinik Pratama,0179B001,Klinik PMI DIY                                            ,Jl. Ringroad Barat Nomor 03, 0274-6499652
D I Yogyakarta,Apotek,0179A012,If Rs Bhayangkara                                            ,Jl. Solo Km.14,274498278
D I Yogyakarta,Rumah Sakit,0180R010,RS Mata Dr.Yap                                            ,Jl. Cik Ditiro No.5 Yogyakarta, 0274-562054
D I Yogyakarta,Puskesmas,12010101,Tegalrejo                                             ,Jl. Magelang Km 2 No. 180  Kec, 0274-586841
D I Yogyakarta,Klinik Utama,0180U001,"dr. Tejo Katon, S.Si, MBA                                            ",Jl. Sukonandi No. 8,8164224411
D I Yogyakarta,Klinik Pratama,0180B001,Klinik Lanal Yogyakarta                                            ,Bintaran Kidul No.14 Yk,818925529
D I Yogyakarta,Apotek,0180A008,Apotek Ramadhan                                             ,Jl. Kusumanegara No. 296,274418315
Jawa Timur,Rumah Sakit,0181R007,RS Agung Mulia                                            ,Jl. Sasuit Tubun Lingk. Bleber, 0357-884466
Jawa Timur,Puskesmas,13120101,Pacitan                                            ,Jl. Grindulu No. 33, 0357-883894
Jawa Timur,Klinik Utama,0181U005,dr. Puji Dian Cahyani                                            ,JL. RM Suryo NO. 7B Temon, 0355-081803315
Jawa Timur,Klinik Pratama,1810002,Poskes 05.10.25 Pacitan                                            ,Jl. Ahmad Yani No. 6, 0357-882145
Jawa Timur,Apotek,0181A003,IFRS Rsud Pacitan                                            ,Jl. Jend. A Yani No.51, (0357)-881410
Jawa Timur,Rumah Sakit,0182R004,RS Muslimat                                            ,Jl. Jendral  Ahmad Yani No. 15, 0352-481986
Jawa Timur,Puskesmas,13110101,Ponorogo Utara                                            ,Jl. Pahlawan No.30 Ponorogo, 0352-485446
Jawa Timur,Klinik Utama,0182U001,Dr. SITI ROBIHAH TARWIYATI                                            ,Jl. Raya Jetis-Ponorogo, 081-335064046
Jawa Timur,Klinik Pratama,1820002,Poskes 05.10.01 Ponorogo                                            ,Jl. Urip Sumoharjo No. 81, 0352-481480
Jawa Timur,Apotek,0182A006,IFRS Hardjono Ponorogo                                            ,Raya Ponorogo Pacitan,352489262
Jawa Timur,Rumah Sakit,0183R002,RS. Budi Asih                                            ,Jl Mayjend Sungkono 80 Trengga, 0355-794680
Jawa Timur,Puskesmas,13150101,Trenggalek                                             ,Jl. Soekarno Hatta Gg Rambutan, 0355-792137
Jawa Timur,Klinik Utama,0183U002,dr. Ida Roslena                                            ,Jl. Trenggalek - Ponorogo 13, 0355-085233382
Jawa Timur,Klinik Pratama,1830009,Poskes 05.10.04 Trenggalek                                            ,Jl. Kh. Agus Salim No 09 , 0355-793887
Jawa Timur,Apotek,0183A004,IFRS Budi Asih                                            ,Jl. Mayjend Sungkono Nomor  80, 0355-794690
Jawa Timur,Rumah Sakit,0184R002,Rsui Orpeha                                            ,Jl Khr. Abd Fatah Tulungagung, 0355)-323186
Jawa Timur,Puskesmas,1840001,Bangunjaya                                            ,Jl. Raya Bangunjaya, 0355-081331755
Jawa Timur,Klinik Utama,0184U001,dr. Yunike Siwi Hastina                                            ,JL. Pahlawan 230, 0355-081232736
Jawa Timur,Klinik Pratama,1840004,Poskes 05.10.05 Tulungagung                                            ,JL. P. Antasari 15, 0355-328534
Jawa Timur,Apotek,0184A001,IFRS Dr Iskak Tulungagung                                            ,Jl Dr Wahidin Sudiro Husodo, (0355)-322609
Jawa Timur,Rumah Sakit,0185R003,RSU An Nisaa                                            ,Jl Suparyono Timur 1 Bajang, 081-233242441
Jawa Timur,Puskesmas,13140101,Garum                                            ,Jl Raya Sumberdiren Kab Blitar, 0342-561081
Jawa Timur,Klinik Utama,0185U002,"Deny Christianto, Dr                                            ",Ds Dadapan  Kec. Garum, 0877-56444070
Jawa Timur,Klinik Pratama,1850003,Poskes 05.09.03 Blitar                                            ,Jl. Merdeka 192 Blitar, 0342-808018
Jawa Timur,Apotek,0185A003,Apotik DHARMA ASIH                                            ,Jl. Urip Sumoharjo 16 A,3427855857
Jawa Timur,Rumah Sakit,0186R002,Aura Syifa                                            ,Jl. Joyoboyo 42 Ngasem Kediri, 0354-671939
Jawa Timur,Puskesmas,1860001,Kayenkidul                                            ,Ds Kayen Kidul, 0354-544144
Jawa Timur,Klinik Utama,0186U001,"Pramusinto, Dr                                            ",Jl Kelud 25 Wates Kab Kediri, 0815-7989926
Jawa Timur,Klinik Pratama,1860002,Polres Kediri                                            ,Jl. Bhayangkara, 0354-0354 3912
Jawa Timur,Apotek,0186A002,IFRS Kab. Kediri                                            ,Jl. P.K. BANGSA NO. 1 PARE,354391833
Jawa Timur,Rumah Sakit,0187R006,RSUD Lawang                                            ,Jl. R.A. Kartini No 5 , (0341) 426072
Jawa Timur,Puskesmas,13240101,Tumpang                                            ,Jl. Setiawan No.227 Tumpang, 0341-787290
Jawa Timur,Dokter Praktik Perorangan,0187S001,Klinik Ri Muslimat Singosari                                            ,Jalan Ronggolawe No 24, 0341-458344
Jawa Timur,Klinik Utama,0187U001,dr. Catur Suci Sutrisnani                                            ,Jl Raya Sengkaling 239A Dau,8123355094
Jawa Timur,Klinik Pratama,1870001,Klinik Brigif Linud 18/K                                            ,Ds Kemantren Jabung Malang, 0341-3072782
Jawa Timur,Apotek,0187A046,If Rsud Lawang                                            ,JL. RA. Kartini No. 5,341426072
Jawa Timur,Rumah Sakit,0188R003,RS Wijaya Kusuma                                            ,Jl. Jendral Ahmad Yani  No.149, 0334-891325
Jawa Timur,Puskesmas,1880001,Tunjung                                            ,Jl. Tunjung - Kalipenggung, 0334-323824
Jawa Timur,Dokter Praktik Perorangan,0188S001,Klinik Bersalin Bunda Elsa                                    ,Jl Suwandak No 133, 0334 - 5761044
Jawa Timur,Klinik Utama,0188U004,"HALIMI MAKSUM, dr                                            ",Jl.Dieng No. 197, 0812-16316416
Jawa Timur,Klinik Pratama,1880003,Polkes 05.09.02 Lumajang                                            ,Jl. Imam Sujai 3 Lumajang, 0334-886199
Jawa Timur,Apotek,0188A003,IFRS Wijaya Kusuma                                            ,Jl. A. Yani 149,334891325
Jawa Timur,Rumah Sakit,0189R008,RS Citra Husada                                             ,Jl. Teratai NO 22, 0331-486200
Jawa Timur,Puskesmas,1891001,Banjarsengon                                            ,Jl. Kasuari Banjarsengon No.48, 0331-424507
Jawa Timur,Klinik Utama,0189U003,"BAMBANG WITARNO, dr                                            ",Jl.Pb.Sudirman No. 186 Tanggul, 0812-4961326
Jawa Timur,Klinik Pratama,1890001,Klinik Brigif 9/K                                            ,Jl. Dr. Soebandi No.9, 0331-5103778
Jawa Timur,Apotek,0189A001,Instalasi Farmasi Rs Paru                                            ,Jl.Nusa Indah  No. 28 Jember,331421078
Jawa Timur,Rumah Sakit,0190R002,RS Nahdlatul Ulama Banyuwangi                                            ,Jl. Raya Mangir Rogojampi, 0333- 63296
Jawa Timur,Puskesmas,13330101,Wongsorejo                                            ,Jl. Raya Situbondo No. 04, 0333-461486
Jawa Timur,Klinik Utama,0190U002,"Rezekiyanti, Dr                                            ",Jl. Basuki Rahmad No. 148,8123213580
Jawa Timur,Klinik Pratama,1900001,Poskes 05.10.18                                            ,Jl. Diponegoro 5 Banyuwangi,6.28223E+12
Jawa Timur,Apotek,0190A001,IFRS Nu Banyuwangi                                            ,Jl. Raya Mangir Rogojampi, 0333-632965
Jawa Timur,Rumah Sakit,0191R003,RS Bhayangkara Bondowoso                                            ,Jenpol Sucipto Judodiharjo 12, 0332-433431
Jawa Timur,Puskesmas,13320101,Nangkaan                                            ,Jl. Brigpol Sudarlan No. 34, 0332-431158
Jawa Timur,Klinik Utama,0191U001,H. Slamet Santoso                                            ,Jl. Mayjend Sutoyo No.7 A, 0332-081233515
Jawa Timur,Klinik Pratama,1910002,Poskes 05.10.15 Bondowoso                                            ,Jl. Brigjen Katamso, 0332-5553538
Jawa Timur,Apotek,0191A003,IFRS Bhayangkara Bondowoso                                            ,Jenpol Sucipto Judodiharjo 12, 0332-433431
Jawa Timur,Rumah Sakit,0192R002,RS Elizabeth Situbondo                                            ,Jl. Wr Supratman No.2, 0338-671174
Jawa Timur,Puskesmas,13310101,Sumbermalang                                            ,Jl. Rengganis No. 3,85100510335
Jawa Timur,Klinik Utama,0192U001,"Anik Trihastutik, Dr                                            ",Perumnas Panji Permai Blok Q-1, 0338-672297
Jawa Timur,Klinik Pratama,1920002,Poskes 05.10.16 Situbondo                                            ,Jl. P. Sudirman Situbondo 28, 082337477902-0
Jawa Timur,Apotek,0192A007,IFRS dr. Abdoer Rahem                                            ,Jl. Anggrek No.68, 0338-671028
Jawa Timur,Rumah Sakit,0193R003,RS Graha Sehat                                            ,Panglima Sudirman 2 Kraksaan, 0335-846500
Jawa Timur,Puskesmas,13280101,Tongas                                             ,Jl. Raya Tongas No. 8, 0335-511949
Jawa Timur,Klinik Utama,0193U001,"dr. Endang Astuti, MM                                            ",Jl.P.Sudirman Gg Melati Ii/94, 62-85258740097
Jawa Timur,Klinik Pratama,0193B000,Klinik Santika                                             ,Jl.Raya Panglima Sudirman No.6,335846500
Jawa Timur,Apotek,0193A008,IFRS Tongas                                            ,JL. RAYA TONGAS No. 229,335511836
Jawa Timur,Rumah Sakit,0194R003,RS Bhayangkara Watukosek                                            ,Watukosek, 0343-7836826
Jawa Timur,Puskesmas,13260101,Rejoso                                             ,Jl. Raya Rejoso Lor, 0343 483385
Jawa Timur,Dokter Praktik Perorangan,0194S001,Klinik Mata Pandaan                                            ,Raya Bypass No.1 Lingk.Kluncin, 0343-639299
Jawa Timur,Klinik Utama,0194U002,"dr. Agung Basuki, M.Kes                                            ",Jl. Raya Nongko Jajar No. 32, 0343-081230005
Jawa Timur,Klinik Pratama,1940003,Klinik Yonkav 8/K                                             ,Jl. Raya Beji,81233740639
Jawa Timur,Apotek,0194A002,IFRS Bhayangkara Watukosek                                            ,Jl. Raya Watukosek Gempol,3437836826
Jawa Timur,Rumah Sakit,0195R001,Rumkitban Sidoarjo                                            ,Jl. Dr. Sutomo No. 2, 031-8964610
Jawa Timur,Puskesmas,1950001,Ganting                                            ,Jl.Singomenggolo No. 1 Ganting, 031-0318015538
Jawa Timur,Klinik Utama,0195U010,dr. H. Don Sofyan                                            ,Jl. Teuku Umar No.4 Sda, 031-0819575656
Jawa Timur,Klinik Pratama,1950004,Polres Sidoarjo                                            ,Jl. Kombes Pol M Duryat, 031-0318941334
Jawa Timur,Apotek,0195A002,Apotik As-Shafa                                            ,Jl. Letjen Sutoyo No.11 Waru, 031-0318555001
Jawa Timur,Rumah Sakit,0196R007,RS Arofah                                            ,Jln Gajah Mada No. 1, 0321-596900
Jawa Timur,Puskesmas,13220101,Sooko                                            ,Jl. Bhayangkara, 0321-5885754
Jawa Timur,Dokter Praktik Perorangan,0196S001,Klinik Mata Royal Edc Mojosari                                            ,Ruko Royal Blok Rg-6, 0321- 598713
Jawa Timur,Klinik Utama,0196U003,Dr. Rohmatun Naja                                            ,Griya Pekukuhan Asri A 09-10, 62-081332261
Jawa Timur,Klinik Pratama,1960002,Polres Mojokerto                                            ,"Jl. Gajah Mada No. 99,", 0321-081515735
Jawa Timur,Apotek,0196A005,IFRS Prof Dr Soekandar                                            ,Jl. Hayam Wuruk 25, 0321-591591
Jawa Timur,Rumah Sakit,0197R002,RS Unipdu Medika                                            ,Jl. Raya Peterongan - Jogoroto, 0321-873699
Jawa Timur,Puskesmas,1970106,Bawangan Ploso                                            ,Jl. Raya Ploso Babat 236 Ploso, 0321-884155
Jawa Timur,Klinik Utama,0197U001,"Setya Astoeti, Dr.                                            ",Jl. Airlangga No.89 - Jombang, 0-08155244568
Jawa Timur,Klinik Pratama,1970002,Poskes 05.10.10 Jombang                                            ,Jl. Wahid Hasyim 28 Jombang, 0321-860900
Jawa Timur,Apotek,0197A003,Apotik AVISENA FARMA                                            ,Jl. Dr. Sutomo 60 Jombang,81335247099
Jawa Timur,Rumah Sakit,0198R004,Rsi Aisyiyah                                            ,Jl. Imam Bonjol 20 Nganjuk, 0358-324024
Jawa Timur,Puskesmas,13190101,Nganjuk                                            ,Jl Barito I49 Nganjuk, 0358-323614
Jawa Timur,Dokter Praktik Perorangan,0198S001,Klinik Mata Edc Warujayeng                                            ,Jl. Ahmad Yani Tanjunganom, 0358-7701359
Jawa Timur,Klinik Utama,0198U009,"Kristina Sulistyowati, Dr                                            ",Jl. Dr. Soetomo 38 Warujayeng, 0813-35739439
Jawa Timur,Klinik Pratama,1980001,Poskes 05.10.06 Nganjuk                                            ,Jl. P. Sudirman No. 16, 0358-3512372
Jawa Timur,Apotek,0198A005,IFRS Bhayangkara Moestadjab                                            ,Jl. A.R SALEH 56 NGANJUK,8523366575
Jawa Timur,Rumah Sakit,0199R003,RSUD Dolopo                                            ,Jl Raya Dolopo Madiun,351463324
Jawa Timur,Puskesmas,1990001,Klecorejo                                            ,Jl. Raya Wates Klecorejo, 0351-388155
Jawa Timur,Dokter Praktik Perorangan,0199S001,Klinik Yepa Husada Kaibon                                            ,Jl. Kebonsari Desa Kranggan Ke, 0351-492501
Jawa Timur,Klinik Utama,0199U001,dr. CHANDRA WHIDA ERLINA                                            ,Jl. Raya Kebonsari 271, 085-230019494
Jawa Timur,Klinik Pratama,1990003,Klinik Rawat Jalan Caruban                                            ,Jl. Raya Surabaya Saradan, 085-235052509
Jawa Timur,Apotek,0199A001,Apotek Kimia Farma Caruban                                            ,Jalan Ahmad Yani No 106 Caruba,85799555942
Jawa Timur,Rumah Sakit,0200R002,RSAU dr. EFRAM HARSANA                                            ,Jl Raya Solo Maospati, (0351) 869705
Jawa Timur,Puskesmas,13100101,Ngariboyo                                            ,Jl. Raya Magetan - Parang No. , 0351-893114
Jawa Timur,Klinik Utama,0200U002,dr. SAD OMEGA KENCANAWATI                                            ,Jl. Raya Barat No. 242, 081-335730770
Jawa Timur,Klinik Pratama,2000001,Poskes 05.10.03 Magetan                                            ,Jl. Yos Sudarso Magetan, 0651-896068
Jawa Timur,Apotek,0200A005,IFRS Lanud Iswahjudi                                            ,Jl Raya Solo Maospati,351463324
Jawa Timur,Rumah Sakit,0201R003,RS Widodo                                            ,Jl. Yos Sudarso 8,351746777
Jawa Timur,Puskesmas,13090101,Geneng                                            ,Jl. Raya Ngawi-Madiun Km.9, 0351-747987
Jawa Timur,Klinik Utama,0201U001,dr. SITI AGUSTININGSIH                                            ,Jl Raya Paron Ds. Gelung Paron, 082-141689534
Jawa Timur,Klinik Pratama,2010001,Polkes 05.09.01 Ngawi                                            ,Jl. Dr. Wahidin No. 12 Ngawi, 0351-749509
Jawa Timur,Apotek,0201A008,IFRS Widodo Ngawi                                            ,Jalan Yos Sudarso No. 8, 0351 746777
Jawa Timur,Rumah Sakit,0202R004,RS Bhayangkara Wahyu Tutuko                                            ,"Panglima Sudirman No. 165,168,", 0353-888780
Jawa Timur,Puskesmas,2020104,Puskesmas GAYAM                                            ,Jl. Raya Gayam 160, 0353-5215167
Jawa Timur,Dokter Praktik Perorangan,0202S001,Klinik Utama Muh Kedungadem                                            ,Jl. Raya Drokilo Kedungadem, 0353-351141
Jawa Timur,Klinik Utama,0202U006,"ERLINA OETOMO, dr                                            ",Jl. H. Agus Salim No. 10,8161503826
Jawa Timur,Klinik Pratama,2020001,Poskes 05.10.09                                            ,Jl. Rajekwesi No. 15, 081-23440574
Jawa Timur,Apotek,0202A007,IFRS RSUD Sumberrejo Bjonegoro                                            ,Raya No 231 Sumberejo,353331530
Jawa Timur,Rumah Sakit,0203R005,RS Muhammadiyah Tuban                                            ,Diponegoro No 1,356321334
Jawa Timur,Puskesmas,13050101,Tuban                                            ,Tuban, .0356-321194
Jawa Timur,Klinik Utama,0203U001,"ATIEK SUPARTININGSIH, dr                                            ",Jl.P.Sudirman No. 62 B Tuban,81330704416
Jawa Timur,Klinik Pratama,2030001,Poskes 05.10.07 Tuban                                            ,Jl. P. Sudirman 112 Tuban,81216215008
Jawa Timur,Apotek,0203A008,IFRS Rs Nu Tuban                                            ,Jl Letda Sucipto No.211,356328244
Jawa Timur,Rumah Sakit,0204R003,RSUD NGIMBANG lamongan                                            ,Jl. Raya Babat Jombang 227, (0322)7797611
Jawa Timur,Puskesmas,2040903,Karangkembang                                            ,"Jl. Raya Jombang , Kec. Babat", 0322-452066
Jawa Timur,Dokter Praktik Perorangan,0204S001,Klinik Mata Utama Lamongan                                            ,Ruko Permata Kavling 34Jl. Pa, 0322-319256
Jawa Timur,Klinik Utama,0204U014,dr. Peni Kartikasari                                            ,Jl. Kauman 18 Blimbing Paciran,81331666066
Jawa Timur,Klinik Pratama,2040001,Poskes 05.10.08 Lamongan                                            ,Jl. Raya Lamongrejo Nomor 132, 0322 314171
Jawa Timur,Apotek,0204A009,IFRS Ngimbang                                            ,Jl Raya Babat Jombang 227, (0322)7797611
Jawa Timur,Rumah Sakit,0205R009,RS Denisa                                            ,Jl. Dr. Wahidin Sh 736, 031-3950552
Jawa Timur,Puskesmas,2050001,Sukomulyo                                            ,Jl. Kalimantan No.104 Gkb,313954818
Jawa Timur,Dokter Praktik Perorangan,0205S100,Klinik Mata Utama                                            ,"Jl. Sumatra 27F, Gkb Gresik", 031-3930011
Jawa Timur,Klinik Utama,0205U030,dr Rachmadyah Edihastin                                            ,Komplek Perum Kwsg Veteran C6,81216154685
Jawa Timur,Klinik Pratama,2050004,Poskes 05.10.11 Gresik                                            ,Jl. R.A Kartini No. 33 Gresik, 031-0313975410
Jawa Timur,Apotek,0205A012,IFRS Ibnu Sina Gresik                                            ,Jl. Dr. Wahidin Sudirohusodo,313951239
Jawa Timur,Rumah Sakit,0206R005,RS Lukas Bangkalan                                            ,Jl K.H Moch Kholil No 36A, 031-3095148
Jawa Timur,Puskesmas,13340101,Kemayoran                                            ,Jl. Teuku Umar I/47, 000-0313098146
Jawa Timur,Klinik Utama,0206U010,dr. YULIA MAYASIN                                            ,Jl. Panglima Sudirman 109, 031-0812325691
Jawa Timur,Klinik Pratama,2060002,Poskes 05.10.22 Bangkalan                                            ,Jl. Veteran No.04 Bangkalan, 031-0878505524
Jawa Timur,Apotek,0206A006,Kimia Farma 163 Bangkalan                                            ,Jl. Jokotole No 5 Bangkalan,313091016
Jawa Timur,Rumah Sakit,1335R001,RSUD Sampang                                            ,Jl. Rajawali No.10, 0323-323956
Jawa Timur,Puskesmas,2070001,Pangarengan                                            ,Jl. Empu Ronggo No. 01,
Jawa Timur,Dokter Praktik Perorangan,0207S001,Klinik Utama Sukma Wijaya                                            ,Jalan Agus Salim No. 19 Sampan, 0323-322813
Jawa Timur,Klinik Utama,0207U009,"dr. YULIONO, M. KES.                                            ",Jl. Mutiara No.100 Sampang, 000-0812323237
Jawa Timur,Klinik Pratama,2070008,Poskes 05.10.21 Sampang                                            ,Jl. Wijaya Kusuma 2 Sampang, 000-0853362866
Jawa Timur,Apotek,0207A002,IFRS Sampang                                            ,Jl. Rajawali No. 10, 0323-323956
Jawa Timur,Rumah Sakit,0208R006,RS Larasati Pamekasan                                            ,Jalan Mandilaras No. 74-80, 0324-328305
Jawa Timur,Puskesmas,13370101,Proppo                                            ,Jl. Raya Proppo, 000-0324325177
Jawa Timur,Klinik Utama,0208U015,"dr. H. HENDARTO, M.Si                                            ",Jl. P. Trunojoyo Vii/20, 000-0324334404
Jawa Timur,Klinik Pratama,2080001,Poskes 05.10.19 Pamekasan                                            ,Jl. P. Sudirman 7 Pamekasan, 000-0813326538
Jawa Timur,Apotek,0208A012,IFRSUD Pamekasan                                            ,Jl. Raya Pangligur No. 4,324326242
Jawa Timur,Rumah Sakit,0209R003,RS Sumekar Sumenep                                            ,Jl. Arya Wiraraja No.99, 0328-6762407
Jawa Timur,Puskesmas,2090001,Batuan                                            ,Jl. Raya Lenteng, 000-0328666102
Jawa Timur,Klinik Utama,0209U009,dr. ANUGRAH RIZKA RAHADI                                            ,Jl. Trunojoyo 125, 000-0817301463
Jawa Timur,Klinik Pratama,2090004,Poskes 05.10.20 Sumenep                                            ,Jl. Dr. Wahidin No. I-C,85232091266
Jawa Timur,Apotek,0209A004,Kimia Farma Sumenep                                            ,Jl. Kh. Mansyur No 42 Sumenep,328662930
Jawa Timur,Rumah Sakit,0210R005,RS Daha Husada                                            ,Jl. Veteran 48 Kediri, 0354-773895
Jawa Timur,Puskesmas,13170101,Kota Wil Selatan                                            ,Jl Kapt Tendean 156 Kediri, 0354-688231
Jawa Timur,Klinik Utama,0210U004,"Sm. Harijanto, Dr                                            ",Jl Kyai Mojo No 6 Kediri, 62-8123413516
Jawa Timur,Klinik Pratama,2100001,Polres Kediri Kota                                            ,Jl. Hasanudin 31, 0813-35555552
Jawa Timur,Apotek,0210A001,Apotek Amanah Ilahi Farma                                            ,Jl Gatot Subroto 161 Kediri,354776181
Jawa Timur,Rumah Sakit,0211R004,RSU Aminah                                            ,Jl Veteran 39 Blitar, 0342-816304
Jawa Timur,Puskesmas,13130101,Sananwetan                                            ,Jl Jawa No 7 Blitar, 0342-801581
Jawa Timur,Klinik Utama,0211U005,"Dharma Setiawan, Dr                                            ",Jl. Melati 36 B Blitar, 62-81252905860
Jawa Timur,Klinik Pratama,2110001,Polres Blitar Kota                                            ,Jl. Pang. Sudirman 17 Blitar, 0342-801110
Jawa Timur,Apotek,0211A009,Apotik PUNDEN SEHAT                                            ,Jl. Tanjung 53 Blitar,342803824
Jawa Timur,Rumah Sakit,0212R004,Rsi Aisyiyah Malang                                            ,Jl Sulawesi No. 16, 0341-326773
Jawa Timur,Puskesmas,2120505,Polowijen                                            ,Jl. Panji Suroso no 9 Malang,341491320
Jawa Timur,Dokter Praktik Perorangan,0212S006,Klinik Mata Smec Malang                                            ,Jl. Sunandar Priyo Sudarmo No ,3414373333
Jawa Timur,Klinik Utama,0212U002,dr. JOKO SUWARSO                                            ,Jl. J.A. Suprapto 19B,85854047901
Jawa Timur,Klinik Pratama,2120002,Klinik Rawat Jalan Rampal                                            ,Jl. P. Sudirman No D-9A, 0341-3012272
Jawa Timur,Apotek,0212A002,Apotik Danau Toba                                            ,Jl Danau Toba E 5/22,7390694
Jawa Timur,Rumah Sakit,0213R002,RS Dharma Husada (Jst)                                            ,Soekarno Hatta No. 10, 0335-422176
Jawa Timur,Puskesmas,13270101,Sukabumi                                             ,Jl. Wijaya Kusuma No. 1, 0335-425852
Jawa Timur,Klinik Utama,0213U010,dr. M. V. Melani Liliawati                                             ,Jl. Hayam Wuruk No. 22D, 0335-427542
Jawa Timur,Klinik Pratama,1930001,Polres Kab. Probolinggo                                             ,Jl.A. Yani No 31,8123369296
Jawa Timur,Apotek,0213A006,IFRS Dharma Husada (Jst)                                            ,Jl. Sukarno Hatta No. 10,335423893
Jawa Timur,Rumah Sakit,1325R001,RSUD Dr.R.Soedarsono                                            ,Jl. Dr. Wahidin Selatan, 0343-421073
Jawa Timur,Puskesmas,2140001,Sekargadung                                             ,Jl. Terusan Sekarsono 1, 0343-5643610
